bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
99,121,37,7241,256,-65,321,172,19,189,2,1299,128,92,11,369,284,358,285,47_91_31
117,132,39,7481,283,-52,335,193,73,211,18,1186,121,86,11,341,260,331,267,47_163_72
118,131,39,7468,283,-51,334,194,74,212,19,1190,122,83,12,342,258,333,271,47_163_32
94,118,37,7172,248,-68,316,167,15,183,-2,1351,135,96,11,384,296,378,298,47_19_45
122,133,39,7495,288,-48,336,198,77,216,23,1180,121,82,12,338,256,330,270,47_19_38
102,125,38,7133,260,-63,323,174,23,191,7,1344,133,96,11,376,295,373,297,47_19_37
98,123,38,7116,254,-65,319,170,20,187,3,1360,135,96,11,383,296,380,299,47_19_44
115,131,39,7347,278,-54,332,189,71,207,17,1235,124,89,11,350,271,342,278,47_19_60
112,129,39,7337,274,-56,330,186,69,204,14,1247,126,90,11,354,274,347,280,47_19_52
127,133,38,7893,299,-50,349,207,185,226,21,1299,127,81,11,361,281,338,318,21_147_44
125,133,38,7890,297,-52,349,205,183,224,19,1322,129,83,11,366,286,343,325,21_147_19
118,132,36,8325,298,-64,362,203,128,222,7,1220,134,74,16,361,259,343,277,21_165_16
121,134,36,8262,300,-63,363,205,130,224,10,1232,134,75,15,361,264,344,284,21_165_14
121,133,36,8242,298,-63,361,205,130,223,10,1239,133,75,15,361,267,344,287,21_237_22
122,128,36,8183,295,-60,355,205,182,224,12,1248,130,76,13,358,273,339,291,21_109_27
122,128,36,8171,295,-60,355,205,182,224,12,1253,130,77,13,358,274,338,293,21_109_33
128,131,37,8006,300,-50,350,209,187,228,20,1272,126,78,12,355,274,331,309,21_125_22
130,133,37,7967,302,-49,351,210,188,229,22,1274,125,78,12,355,274,332,311,21_147_40
123,132,38,7858,293,-52,345,202,181,221,17,1340,131,84,12,372,287,350,330,21_235_31
128,134,38,7881,300,-49,349,207,186,226,22,1299,127,81,12,360,280,337,320,21_147_6
127,131,37,7926,297,-52,349,206,185,225,19,1309,127,82,11,362,286,339,320,21_147_4
129,130,37,8032,301,-50,351,210,187,229,21,1266,126,78,12,354,274,331,306,21_125_14
128,131,37,7989,300,-50,350,209,187,228,21,1277,126,79,12,356,276,333,311,21_147_14
140,137,40,7577,310,-32,342,55,196,235,39,1463,158,90,14,426,305,346,402,47_139_89
132,136,40,7488,300,-38,338,48,188,226,33,1527,164,93,14,445,320,365,418,47_139_99
121,140,41,7261,284,-53,337,38,128,211,23,1406,146,83,13,390,291,364,364,47_155_42
