bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
106,129,34,8754,291,-82,373,194,-13,213,-13,1019,111,62,19,315,201,302,201,39_73_8306
111,125,34,8549,291,-70,361,198,-4,217,-4,1064,111,69,15,312,222,312,222,39_167_14076
104,128,34,8734,288,-83,371,193,-14,212,-14,1028,111,62,19,319,203,308,203,39_127_13404
121,131,35,8489,304,-62,366,208,130,227,8,1073,119,70,16,321,230,316,231,39_87_12792
108,130,35,8689,293,-78,371,197,-9,216,-9,1010,109,62,18,309,202,297,202,39_9_11693
116,129,35,8463,295,-68,363,202,2,221,2,1093,122,72,16,325,231,320,231,39_53_2780
118,131,35,8477,299,-66,365,204,4,223,4,1080,121,71,17,323,228,318,228,39_87_2049
118,129,35,8520,299,-65,364,205,3,224,3,1064,114,69,16,315,228,310,228,39_145_3125
108,124,34,8597,288,-75,363,195,-9,214,-9,1044,111,65,16,314,210,311,210,39_121_5629
120,131,35,8478,301,-64,365,207,6,226,6,1083,121,71,16,324,232,319,232,39_87_614
117,129,35,8497,298,-66,364,204,2,222,2,1082,119,71,16,323,229,317,229,39_87_571
113,129,35,8553,295,-70,365,200,-2,219,-2,1051,109,67,15,308,218,308,218,39_167_3819
118,131,35,8532,300,-67,367,205,3,224,3,1074,120,70,17,320,225,316,225,39_53_361
106,126,34,8591,287,-77,364,193,-10,213,-10,1059,112,66,16,319,213,315,213,39_111_2349
111,128,35,8594,293,-72,365,198,-5,218,-5,1035,109,64,16,309,209,307,209,39_167_2121
106,127,34,8685,289,-78,367,194,-12,213,-12,1023,114,63,19,318,203,311,203,39_127_5693
107,129,34,8682,290,-79,369,196,-10,215,-10,1020,111,63,18,313,204,303,204,39_9_3039
107,125,34,8619,288,-76,364,194,-10,214,-10,1038,111,64,17,314,208,310,208,39_111_3233
104,129,34,8784,290,-84,374,193,-15,212,-15,1025,111,62,19,318,202,305,202,39_127_2746
117,129,35,8503,298,-66,364,203,3,223,3,1072,116,70,16,318,229,313,229,39_145_4087
109,125,34,8616,290,-74,364,196,-8,216,-8,1034,110,64,17,311,208,309,208,39_121_2759
108,126,34,8525,287,-75,362,194,-8,213,-8,1081,113,69,15,320,223,318,223,39_167_5386
110,125,34,8512,289,-71,360,196,-6,215,-6,1076,112,69,15,316,224,316,224,39_167_4441
117,132,35,8516,299,-69,368,204,2,223,2,1064,118,69,17,317,222,312,222,39_53_2769
117,130,35,8462,298,-67,365,203,3,222,3,1081,121,71,16,323,228,318,228,39_87_1349
120,130,35,8468,302,-63,365,206,6,226,6,1080,120,71,16,324,232,318,232,39_87_3919
108,127,34,8573,289,-75,364,195,-8,214,-8,1053,111,66,16,315,213,312,213,39_111_4244
109,130,35,8700,294,-77,371,198,-8,217,-8,1000,108,61,19,307,200,295,200,39_9_3882
107,127,34,8726,289,-80,369,195,-12,214,-12,1040,114,62,19,318,202,304,202,39_163_8639
106,128,34,8719,290,-81,371,195,-12,214,-12,1028,113,62,19,315,202,301,202,39_73_8322
119,131,35,8459,300,-65,365,205,5,224,5,1081,120,71,16,323,230,318,230,39_87_8381
107,129,34,8730,292,-81,373,195,-12,214,-12,1010,111,61,19,312,200,298,200,39_73_8307
115,129,35,8500,296,-69,365,202,1,221,1,1083,119,71,16,322,228,317,228,39_87_12767
104,126,34,8684,286,-80,366,192,-14,211,-14,1027,115,62,20,322,202,314,202,39_127_13401
109,123,34,8556,288,-73,361,196,-7,215,-7,1067,112,68,15,316,220,315,220,39_167_14051
120,130,35,8503,302,-63,365,207,129,225,5,1050,113,67,16,311,225,306,225,39_145_13694
121,131,35,8493,304,-62,366,208,130,227,7,1066,117,70,16,318,229,313,229,39_87_12793
104,128,34,8771,288,-83,371,193,-15,212,-15,1029,112,62,20,321,202,310,202,39_127_3899
106,128,34,8665,289,-80,369,194,-11,213,-11,1026,111,63,18,314,205,304,205,39_9_1903
105,125,34,8611,286,-79,365,191,-12,211,-12,1049,112,65,17,319,210,313,210,39_111_1027
117,130,35,8464,298,-67,365,203,3,222,3,1091,122,72,17,326,230,321,230,39_87_4283
